sku,inRoqResult,isApendSku,inTip,inForecastNational,inVendorData
1903623,Y,N,Y,Y,Y
2350077,Y,N,Y,Y,Y
305846,N,N,N,Y,N
342421,N,N,N,Y,N
659114,N,N,N,Y,N
75376,Y,N,Y,Y,Y
312362,Y,N,Y,Y,Y
47800,N,N,N,Y,N
482977,N,N,N,Y,N
557659,Y,N,Y,Y,Y
77159,N,N,N,Y,N
2350079,Y,N,Y,Y,Y
448840,N,N,N,Y,N
2090565,Y,N,Y,Y,Y
2173428,N,N,N,Y,N
2219931,Y,N,Y,Y,Y
2340936,Y,N,Y,Y,Y
304958,N,N,N,Y,N
399558,N,N,N,Y,N
488045,N,N,N,Y,N
1671120,N,N,N,Y,N
1687826,Y,N,Y,Y,Y
2013228,N,N,N,Y,N
2156671,N,N,N,Y,N
2340937,Y,N,Y,Y,Y
2351467,Y,N,Y,Y,Y
312365,Y,N,Y,Y,Y
359742,Y,N,Y,Y,Y
125869,N,N,N,Y,N
1671121,N,N,N,Y,N
1867485,N,N,N,Y,N
1911809,N,N,N,Y,N
315985,N,N,N,Y,N
360741,Y,N,Y,Y,Y
467392,N,N,N,Y,N
581764,Y,N,Y,Y,Y
1671122,N,N,N,Y,N
1733448,Y,N,Y,Y,Y
2144595,Y,N,Y,Y,Y
2323073,Y,N,Y,Y,Y
2347347,Y,N,Y,Y,Y
315986,N,N,N,Y,N
342427,N,N,N,Y,N
360580,Y,N,Y,Y,Y
39624,Y,N,Y,Y,Y
449573,N,N,N,Y,N
503987,Y,N,Y,Y,Y
538835,N,N,N,Y,N
597407,Y,N,Y,Y,Y
85065,Y,N,Y,Y,Y
124367,N,N,N,Y,N
1671123,N,N,N,Y,N
1732107,N,N,N,Y,N
1956136,N,N,N,Y,N
2198768,Y,N,Y,Y,Y
2296660,N,N,N,Y,N
2314164,Y,N,Y,Y,Y
2337547,Y,N,Y,Y,Y
337091,N,N,N,Y,N
360581,Y,N,Y,Y,Y
37186,N,N,N,Y,N
467394,N,N,N,Y,N
494448,N,N,N,Y,N
145851,N,N,N,Y,N
155814,N,N,N,Y,N
160214,N,N,N,Y,N
1671124,N,N,N,Y,N
1777659,N,N,N,Y,N
2049755,Y,N,Y,Y,Y
315988,N,N,N,Y,N
327291,N,N,N,Y,N
359746,Y,N,Y,Y,Y
442716,N,N,N,Y,N
1671125,N,N,N,Y,N
1956138,N,N,N,Y,N
2221213,N,N,N,Y,N
2310926,Y,N,Y,Y,Y
2346792,Y,N,Y,Y,Y
23534,N,N,N,Y,N
337093,N,N,N,Y,N
80775,N,N,N,Y,N
1668797,N,N,N,Y,N
1671126,N,N,N,Y,N
1955086,N,N,N,Y,N
1956139,N,N,N,Y,N
2188690,Y,N,Y,Y,Y
2199049,N,N,N,Y,N
2314167,Y,N,Y,Y,Y
2348575,Y,N,Y,Y,Y
311975,N,N,N,Y,N
350332,N,N,N,Y,N
467397,N,N,N,Y,N
644912,Y,N,Y,Y,Y
149869,N,N,N,Y,N
1668798,N,N,N,Y,N
1671127,N,N,N,Y,N
1699587,Y,N,Y,Y,Y
2164903,N,N,N,Y,N
2188691,N,N,N,Y,N
2350627,Y,N,Y,Y,Y
505494,Y,N,Y,Y,Y
590562,N,N,N,Y,N
80777,N,N,N,Y,N
1668799,N,N,N,Y,N
1671128,N,N,N,Y,N
2002264,N,N,N,Y,N
2053150,Y,N,Y,Y,Y
2059604,Y,N,Y,Y,Y
2165020,N,N,N,Y,N
2343220,Y,N,Y,Y,Y
2346344,Y,N,Y,Y,Y
2351195,Y,N,Y,Y,Y
348283,Y,N,Y,Y,Y
36344,Y,N,Y,Y,Y
601885,Y,N,Y,Y,Y
659341,N,N,N,Y,N
81056,N,N,N,Y,N
1671129,N,N,N,Y,N
1869319,N,N,N,Y,N
2002265,N,N,N,Y,N
2090501,Y,N,Y,Y,Y
2137518,N,N,N,Y,N
2165021,N,N,N,Y,N
2171420,Y,N,Y,Y,Y
2192364,Y,N,Y,Y,Y
2342330,Y,N,Y,Y,Y
2343221,Y,N,Y,Y,Y
2351196,Y,N,Y,Y,Y
631289,N,N,N,Y,N
658118,N,N,N,Y,N
149097,Y,N,Y,Y,Y
2165022,N,N,N,Y,N
2292157,Y,N,Y,Y,Y
2313775,Y,N,Y,Y,Y
23539,N,N,N,Y,N
332516,N,N,N,Y,N
342768,N,N,N,Y,N
348285,Y,N,Y,Y,Y
358130,N,N,N,Y,N
36346,Y,N,Y,Y,Y
449625,N,N,N,Y,N
62680,N,N,N,Y,N
140619,N,N,N,Y,N
145902,N,N,N,Y,N
1787349,N,N,N,Y,N
2002267,N,N,N,Y,N
2022526,Y,N,Y,Y,Y
20911,N,N,N,Y,N
2165023,N,N,N,Y,N
